AF01 – Contrôle de gestion	ESCP	Cours fondamentaux de Management	CFX	F. GIRAUD	C. DAMBRIN	Gestion		
DM02 – Droit de l'entreprise 2 : approches sociales et fiscales en Europe	ESCP	Cours fondamentaux de Management	CFX	M-P FENOLL-TROUSSEAU	Droit	Entreprise		
EM02 – Economie pour Managers	ESCP	Cours fondamentaux de Management	CFX	V. STRAUSS-KAHN	J. CREEL	Economie	Managers	
HM01 – Gestion des Ressources Humaines	ESCP	Cours fondamentaux de Management	CFX	M. MURATBEKOVA-TOURON	Ressources Humaines			
PF00 – Stratégie	ESCP	Cours fondamentaux de Management	CFX	R. COEURDEROY	Strategie	Master 2		
RM01 – Management des Opérations	ESCP	Cours fondamentaux de Management	CFX	V. CARBONE	Management			
AA0B – Modelling and managing performance	ESCP	Cours Electifs d'Approfondissement	CEA	O. SAULPIC	Master2	Performance		
AA0C – Adaptation and implementation of performance managemet systems	ESCP	Cours Electifs d'Approfondissement	CEA	J. MORALES	F. DE GEUSER	Performance		
AA09 – Management stratégique des coûts	ESCP	Cours Electifs d'Approfondissement	CEA	F. DE GEUSER	Management	Couts		
AC02 – New public Management and sector Performance	ESCP	Cours Electifs d'Approfondissement	CEA	P. ZARLOWSKI	Management	Performance		
CA0A – Comptabilité financière	ESCP	Cours Electifs d'Approfondissement	CEA	A. LE MANH	Comptabilité			
CA02 – Consolidation et information financière des groupes	ESCP	Cours Electifs d'Approfondissement	CEA	P. DELVAILLE	Information	Groupe 01		
CA02 – Group Financial statements : accounting for consolidated subsidiaries	ESCP	Cours Electifs d'Approfondissement	CEA	P. DELVAILLE	Accounting	Groupe A7		
CA04 – reporting Financier en IFRS	ESCP	Cours Electifs d'Approfondissement	CEA	P. DELVAILLE	A. LE MANH	IFRS		
CB02 – Corporate reporting, Governance and social responsibility	ESCP	Cours Electifs d'Approfondissement	CEA	Y. BIONDI	Goupe A7			
DA05 – Ingénierie fiscale	ESCP	Cours Electifs d'Approfondissement	CEA	B. MIRAILLES	Fiscalité			
EA0C – Les entreprises et la mondialisation	ESCP	Cours Electifs d'Approfondissement	CEA	D. JACOMET	Entreprise	Mondialisation		
EA0E – Développement et coopération Nord-Sud : nouveaux enjeu, nouvelles approches	ESCP	Cours Electifs d'Approfondissement	CEA	O. DELBARD	Développement			
EA02 – Management des Médias	ESCP	Cours Electifs d'Approfondissement	CEA	G. DESLANDES	Management	Média		
EA06 – Histoire de la pensée économique	ESCP	Cours Electifs d'Approfondissement	CEA	J-M DANIEL	Histoire	Economie		
EA07 – Exotic financial derivatives, credit risk and excel applications	ESCP	Cours Electifs d'Approfondissement	CEA	N. KAHALE	Finance	Risque		
EA08 – Economie et culture : l'autre versant de la mondialisation	ESCP	Cours Electifs d'Approfondissement	CEA	P. MORAND	Mondialisation	Economie		
EA09 – Economie Monétaire	ESCP	Cours Electifs d'Approfondissement	CEA	M. RUIMY	Economie			
EA11 – Economie de la construction européenne	ESCP	Cours Electifs d'Approfondissement	CEA	J-M DANIEL	J. CREEL	H. HAUG	Economie	
EB02 – La régulation de la finance	ESCP	Cours Electifs d'Approfondissement	CEA	J. HAAS	Finance			
EC02 – Marché internationaux de capitaux	ESCP	Cours Electifs d'Approfondissement	CEA	D. MARTEAU	Finance			
FA0A – Direction financière	ESCP	Cours Electifs d'Approfondissement	CEA	A. CHEVALIER	Finance	Management		
FA0B – Gestion des risques de marché	ESCP	Cours Electifs d'Approfondissement	CEA	C. KHAROUBI-RAKOTOMALALA	Gestion	Risque		
FA0C – Emerging markets Finance	ESCP	Cours Electifs d'Approfondissement	CEA	P. BUNKANWANICHA	Finance			
FA0D – Commodity Risk Management	ESCP	Cours Electifs d'Approfondissement	CEA	S.OHANA	Management	Risque		
FA10 – Options futures et autres produits dérivés	ESCP	Cours Electifs d'Approfondissement	CEA	C. KHAROUBI-RAKOTOMALALA	Finance			
FA14 – Valuation	ESCP	Cours Electifs d'Approfondissement	CEA	A. DI GUILI	Finance			
FA15 – Fixed income	ESCP	Cours Electifs d'Approfondissement	CEA	S. COLLET	Finance			
FB02 – Les fondements théoriques des modèles pour la finance	ESCP	Cours Electifs d'Approfondissement	CEA	S. SPIESER	Finance	Théorie		
FB03 – Financial Strategy	ESCP	Cours Electifs d'Approfondissement	CEA	J. GUPTA	A. CHEVALIER	Finance	Strategie	
FC01 – Evaluation d'actifs en avenir incertain	ESCP	Cours Electifs d'Approfondissement	CEA	N. KAHALE	Finance			
FD01 – Analyse financière et boursière	ESCP	Cours Electifs d'Approfondissement	CEA	C. THIBIERGE	Finance	Théorie		
FD02 – Fusion Acquisition	ESCP	Cours Electifs d'Approfondissement	CEA	P. THOMAS	Finance	Fusaq		
FD06 – Gestion de portefeuille	ESCP	Cours Electifs d'Approfondissement	CEA	E. JURCZENKO	Finance			
HA01 – Le metier de manager	ESCP	Cours Electifs d'Approfondissement	CEA	H. LAROCHE	Management			
IA0C – Management of information systems from technology to strategy	ESCP	Cours Electifs d'Approfondissement	CEA	A. ZORINA	Management	Technologie	Strategie	
IA02 – Entrepreneurship création d'entreprise et Business Plan	ESCP	Cours Electifs d'Approfondissement	CEA	B. DE SA MOREIRA	Entrepreneurship	Business		
IA02 – Innovation and Entrepreneurship from project to business plan	ESCP	Cours Electifs d'Approfondissement	CEA	G. GRAEF	Entrepreneurship	Innovation	Groupe A7	
IA05 – Apprendre à décider : les aspects humains et la methode	ESCP	Cours Electifs d'Approfondissement	CEA	I. GETZ	H. LAROCHE	Théorie	Humain	
IA07 – Management de l'initiative et de la crétivité	ESCP	Cours Electifs d'Approfondissement	CEA	I. GETZ	Management	Théorie		
LA0D – The European Model : does the European construction lead to a European model of doing business	ESCP	Cours Electifs d'Approfondissement	CEA	O. DELBARD	Europe	Business		
LA06 – La responsibilité sociale de l'entreprise – les nouvelles responsabilités de l'entreprise face au défi du développement durable	ESCP	Cours Electifs d'Approfondissement	CEA	O. DELBARD	Entreprise	Developpement Durable		
MA0A – Channel & retail management	ESCP	Cours Electifs d'Approfondissement	CEA	F. ZERBINI	Management	Retail		
MA0B – Product and brand manager	ESCP	Cours Electifs d'Approfondissement	CEA	B. HEILBRUNN	Management			
MA0C – B2B Marketing Management	ESCP	Cours Electifs d'Approfondissement	CEA	F. ZERBINI	Management	Marketing		
MA01 – Comportement du consommateur	ESCP	Cours Electifs d'Approfondissement	CEA	E. TISSIER-DESBORDES	Consomateur			
MA01 – Consumer Behavior	ESCP	Cours Electifs d'Approfondissement	CEA	A. KIMMEL	Consomateur	Groupe A7		
MA02 – Marketing postmoderne, experientiel et sensoriel	ESCP	Cours Electifs d'Approfondissement	CEA	O. BADOT	Marketing			
MA05 – Marketing de l'innovation	ESCP	Cours Electifs d'Approfondissement	CEA	D. MANCEAU	Marketing			
MA05 – Marketing of innovations	ESCP	Cours Electifs d'Approfondissement	CEA	B. DURISIN	Marketing	Groupe A7		
MA06 – Marketing  stratégie et performance	ESCP	Cours Electifs d'Approfondissement	CEA	S. MACE	Marketing	Strategie	Performance	Master 2
MB02 – Marketing avancé	ESCP	Cours Electifs d'Approfondissement	CEA	J-C. ANDREANI	Marketing	Nouveau Cours		
MB03 – International business management	ESCP	Cours Electifs d'Approfondissement	CEA	J-P. LEMAIRE	Management	Business		
MB04 – Strategie de marque	ESCP	Cours Electifs d'Approfondissement	CEA	B. HEILBRUNN	Strategie	Marque		
MB04 – Branding	ESCP	Cours Electifs d'Approfondissement	CEA	L-M. VISCONTI	Strategie	Marque	Groupe A7	
MC01 – Marketing et communication	ESCP	Cours Electifs d'Approfondissement	CEA	A. PLACET	Marketing	Communication		
MD01 – Marketing Research	ESCP	Cours Electifs d'Approfondissement	CEA	H. HAENLEIN	Marketing	Recherche		
ME02 – International Marketing	ESCP	Cours Electifs d'Approfondissement	CEA	R. PANDRAUD	Marketing	International		
OA0B – Comportement du consultant	ESCP	Cours Electifs d'Approfondissement	CEA	D. ROUACH	Conseil			
OA0B – Consultant Behavior	ESCP	Cours Electifs d'Approfondissement	CEA	D. ROUACH	Conseil			
OA0C – Design thinking in management and entrepreneurship	ESCP	Cours Electifs d'Approfondissement	CEA	J. FENDT	Management	Entrepreneurship		
OA01 – Négociation	ESCP	Cours Electifs d'Approfondissement	CEA	M. KOUTSOVOULOU	Negociation			
OA01 – Negociation bootcamp	ESCP	Cours Electifs d'Approfondissement	CEA	M. KOUTSOVOULOU	Negociation			
OA03 – Intervention et conseil en organisation	ESCP	Cours Electifs d'Approfondissement	CEA	J-P. BOUILLOUD	Intervention	Organisation		
OA04 – Management des achats	ESCP	Cours Electifs d'Approfondissement	CEA	I. FOGLIERINI	Management	Achats		
PA02 – Stratégie et marketing des industries du luxe	ESCP	Cours Electifs d'Approfondissement	CEA	C. BLANCKAERT	Strategie	Marketing	Luxe	
PA04 – Family business : management, governance and succesion	ESCP	Cours Electifs d'Approfondissement	CEA	J. FENDT	Famille	Management	Organisation	
BEBF – Breaking the code of true leadership	ESCP	Cours Electifs d'Ouverture	CEO	I. GETZ	Leadership			
BEB2 – Excel avancé pour le Manager – Niveau 1	ESCP	Cours Electifs d'Ouverture	CEO	B. CARPENTIER	Excel	VBA		
BEB2 – Advanced Excel for the Manager – Level 1	ESCP	Cours Electifs d'Ouverture	CEO	B. CARPENTIER	Excel	VBA	Groupe A7	
BEB3 – Excel Avancé pour le Manager – Niveau 2	ESCP	Cours Electifs d'Ouverture	CEO	B. CARPENTIER	Excel	VBA		
BEB3 – Advanced Excel for the Manager – Level 2	ESCP	Cours Electifs d'Ouverture	CEO	B. CARPENTIER	Excel	VBA	Groupe A7	
BEB5 – Philanthropy and social entrepreneurship	ESCP	Cours Electifs d'Ouverture	CEO	R. PIRET	Philanthropy	Entrepreneurship		
BEB9 – Buying your own business : Small firm diligence, Aquisition, and operations	ESCP	Cours Electifs d'Ouverture	CEO	J. FENDT	Business	Aquisition		
BECD – Changer de business model pour une croissance profitable	ESCP	Cours Electifs d'Ouverture	CEO	T. BOUDES	Business			
BEC0 – International Human Ressource Management	ESCP	Cours Electifs d'Ouverture	CEO	M. MURATBEKOVA-TOURON	Management	International	Humain	
BEC1 – Les enjeux juridiques de la propriété littéraire et artistique (droits d'auteur et droits voisins)	ESCP	Cours Electifs d'Ouverture	CEO	M-P FENOLL-TROUSSEAU	Juridique	Propriété		
BEC2 – Social media and viral marketing	ESCP	Cours Electifs d'Ouverture	CEO	A. KAPLAN	Marketing	Social		
BED6 – Hedge funds	ESCP	Cours Electifs d'Ouverture	CEO	C. KHAROUBI-RAKOTOMALALA	Business	Finance		
BED7 – Public private partnerships	ESCP	Cours Electifs d'Ouverture	CEO	G. NAULLEAU	Partnership	Public		
BE15 – Advanced financial accounting	ESCP	Cours Electifs d'Ouverture	CEO	C. HOSSFELD	Finance	Comptabilité		
BE3E – Web2.0 culture and practice	ESCP	Cours Electifs d'Ouverture	CEO	B. CARPENTIER	Internet	Culture		
BE34 – Evaluation et fusion des entreprises	ESCP	Cours Electifs d'Ouverture	CEO	A. MIKOL	Entreprise	Evaluation		
BE49 – Risk management	ESCP	Cours Electifs d'Ouverture	CEO	S. OHANA	Management	Risque		
BE65 – Formal debating	ESCP	Cours Electifs d'Ouverture	CEO	P. SCHMITT	Debat			
BE66 – Le management des entreprises en Chine	ESCP	Cours Electifs d'Ouverture	CEO	L. LAULUSA	Management	Entreprise	Chine	
BE70 – Project Finance	ESCP	Cours Electifs d'Ouverture	CEO	A. GAZENGEL	Finance			
BE78 – The Big Management Fads : Tools and lessons	ESCP	Cours Electifs d'Ouverture	CEO	I. GETZ	Management			
BE86 – Private equity	ESCP	Cours Electifs d'Ouverture	CEO	Ph. THOMAS	Fusaq			
BE88 – Real Estate	ESCP	Cours Electifs d'Ouverture	CEO	A. ROMANET-PERROUX				
BE9D – Pensée, pouvoir et action	ESCP	Cours Electifs d'Ouverture	CEO	J-P. RAFFARIN	Ministre			
BE92 – Management and emotions	ESCP	Cours Electifs d'Ouverture	CEO	V. TRAN	Management	Humain		
BE93 – What does the brain do	ESCP	Cours Electifs d'Ouverture	CEO	R. PIRET	Humain			
BE95 – Mergers and acquisitions : after the deal/ managing post-merger integration	ESCP	Cours Electifs d'Ouverture	CEO	J. FENDT	Merge	Aquisition	Integration	
KE02 – Negociation & Culture	ESCP	Cours Electifs d'Ouverture	CEO	L. COHEN	Business	Negociation		
KE1C – Amerique latine : vieux acquis et nouveaux défis	ESCP	Cours Electifs d'Ouverture	CEO	F. PINOT	International	Defis		
KE20 – Corporate social responsibility and sustainable strategies	ESCP	Cours Electifs d'Ouverture	CEO	O. DELBARD	A. ACQUIER	Strategie	Social	
KE25 – Wars, mass murder and genocides during the 20th century : a contextualisation of political violence in the age of ideologies	ESCP	Cours Electifs d'Ouverture	CEO	E. HUSSON	Politique	Guerre		
KE34 – Fondements et pratiques de la psychanalyse	ESCP	Cours Electifs d'Ouverture	CEO	N. AUBERT	Psychanalyse	Théeori		
KE37 – The US Cinema industry, the dream factory	ESCP	Cours Electifs d'Ouverture	CEO	O. DELBARD	International	Communication	Cinema	
